Region,Atoll,Island,Rats,Marine.Site.Names,Terrestrial.Site.Names
Seychelles,Seychelles,Fregate,no,Fregate H,Fregate H
Seychelles,Seychelles,Fregate,no,Fregate M,Fregate M
Seychelles,Seychelles,Fregate,no,Fregate L,Fregate L
Seychelles,Seychelles,Aride,no,Aride,Aride South
Seychelles,Seychelles,Aride,no,n/a,Aride West
Seychelles,Seychelles,Cousine,no,Cousine E,Cousine North
Seychelles,Seychelles,Cousine,no,Cousine W,n/a
Seychelles,Seychelles,Cousine,no,n/a,Cousine South
Seychelles,Seychelles,Felicite,yes,Felicite W,Felicite North
Seychelles,Seychelles,Felicite,yes,Felicite E,Felicite South
Chagos,Salomon,Ile de la Passe,no,Ile de la Passe,Ile de la Passe
Chagos,Salomon,Ile Anglaise (SAL),yes,Ile Anglaise (SAL),Ile Anglaise (SAL)
Chagos,Salomon,Ile Fouquet,yes,Ile Fouquet,Ile Fouquet
Chagos,Great Chagos Bank,Middle Brother,no,Middle Brother,Middle Brother
Chagos,Great Chagos Bank,Eagle,yes,Eagle,Eagle
Chagos,Peros Banhos,Grande Coquillage,no,Grande Coquillage,Grande Coquillage
Chagos,Peros Banhos,Yeye,yes,Yeye,Yeye
Chagos,Peros Banhos,Ile Poule,yes,Ile Poule,Ile Poule
Chagos,Peros Banhos,Grande Mapou,yes,Grande Mapou,Grande Mapou
Tetiaroa,Tetiaroa,Aie,no,Aie-North (Site 2),Aie
Tetiaroa,Tetiaroa,Aie,no,Aie-South (Site 1),Aie
Tetiaroa,Tetiaroa,Auroa,yes,Hiranae/Auroa-Hoa,Auroa
Tetiaroa,Tetiaroa,Onetahi,yes,Onetahi-Airstrip/resort,Onetahi
Tetiaroa,Tetiaroa,Reiono,no,Reiono-Exposed (southeast),Reiono
Tetiaroa,Tetiaroa,Reiono,no,Reiono-Protected (southwest),Reiono
Tetiaroa,Tetiaroa,Rimatuu,yes,Rimatuu-Exposed (southeast),Rimatuu
Tetiaroa,Tetiaroa,Rimatuu,yes,Rimatuu-Protected (southwest),Rimatuu
Tetiaroa,Tetiaroa,Tauini,yes,Tauini-Hoa,Tauini
Tetiaroa,Tetiaroa,Tiaraunu,yes,Tiaraunu-Lagoon (southeast),Tiaraunu
Tetiaroa,Tetiaroa,Tiaraunu,yes,n/a,Tiaraunu Nord
Tetiaroa,Tetiaroa,Tahuna Iti,no,n/a,Tahuna Iti
Chagos,Peros Banhos,Ile Anglaise (PB),yes,Ile Anglaise (PB),n/a
Chagos,Peros Banhos,Ile Longue,no,Ile Longue,n/a
Chagos,Great Chagos Bank,Nelson,no,Nelson,n/a
Chagos,Great Chagos Bank,South Brother,no,South Brother,n/a
Tetiaroa,Tetiaroa,Honuea,no,Honuea-Southwest point,n/a
Tetiaroa,Tetiaroa,Hiranae,yes,Hiranae-Lagoon side (southwest),n/a
Tetiaroa,Tetiaroa,Oroatera,yes,Oroatera-Lagoon side (southwest),n/a