Island,Density_birdsha,SeabirdEnergyRequirements_MJha,Ninput_kgha
Fregate,861.6391811,22679.67373,34.43320561
Aride,2390.490063,88701.44389,86.14899186
Cousine,3639.578333,119426.935,144.8950621
Eagle,0.498973306,33.64546061,0.045004057
Middle Brother,6051.5625,204386.5069,365.6905132
Ile Poule,0.222222222,8.365103849,0.012801709
Grande Mapou,3.461538462,307.2711397,0.38800705
Yeye,3.769230769,112.3017601,0.173591919
Grande Coquillage,2894.642857,111043.2089,187.2662649
Ile Anglaise (SAL),0.913907285,30.80312108,0.046504929
Ile de la Passe,28.73076923,1274.235283,1.757069084
Ile Fouquet,4.139240506,292.5896749,0.383929791
Aie,408.5714286,36776.51477,53.64518298
Rimatuu,5.655737705,206.5620687,0.343112407
Reiono,30.20179372,6455.324196,8.895786143
Tahuna Iti,2161.525424,105884.1032,167.8146722
Auroa,126.3333333,31144.58357,42.7519367
Onetahi,0.023183926,0.865412374,0.001428836
Tauini,97.90540541,24056.84306,33.05473395
Tiaraunu,3.172727273,782.4101891,1.080551738
Felicite,0,0,0
South Brother,1462.956522,45960.5465,72.2319147
Nelson,302.7037037,25372.99579,32.35380939
Ile Anglaise (PB),5,174.5807616,0.265754996
Ile Longue,2926.941176,105118.0407,181.4504175
Honuea,0.053003534,1.978631888,0.003266633
Oroatera,13.35495283,3279.190466,4.51018419
Hiranae,52.00288184,12660.52582,17.64021479