Site.Name,Location..distance.to.shore.m..x,Year,Month,Transect,Energy.Urchins.mj.m2.yr,Energy.large.urchins.mj.m2.yr,Energy.Carnivores.mj.m2.yr,Energy.Corallivores.mj.m2.yr,Energy.Herbivores.mj.m2.yr,Energy.Invertivores.mj.m2.yr,Energy.Planktivores.mj.m2.yr,Total.energy.fish.mj.m2.yr,Energy.Parrotfish.mj.m2.yr
Aie-North (Site 2),lagoon,2021,11,1,NA,NA,0.18810375,0.077352499,1.24216277,0.17714635,0.036791694,1.721557063,0.327647737
Aie-North (Site 2),lagoon,2021,11,2,NA,NA,0.243770724,0.055429695,1.25424412,0.091962015,0,1.645406554,0.139954003
Aie-North (Site 2),lagoon,2021,11,3,NA,NA,0.12613167,0.038113337,0.468124877,0.035745601,0.002752095,0.67086758,0
Aie-North (Site 2),lagoon,2021,11,4,NA,NA,0.336799301,0.105964023,0.499944975,0.079148147,0.001761536,1.023617982,0.126926915
Aie-South (Site 1),lagoon,2021,11,1,NA,NA,0,0.040259914,0.604136414,0.306056144,0.005138611,0.955591084,0.346899545
Aie-South (Site 1),lagoon,2021,11,2,NA,NA,0.543654611,0.055885135,0.7087083,0.19755946,0.009008148,1.514815654,0
Aie-South (Site 1),lagoon,2021,11,3,NA,NA,0.347590303,0.080917968,1.64688192,0.679366924,0.195071861,2.949828976,0.639792877
Aie-South (Site 1),lagoon,2021,11,4,NA,NA,0.104896807,0.021077839,1.78216339,0.381600292,0.010689213,2.300427541,0.497138419
Aride,120,2022,11,1,0.97813,0.97813,1.10556004,0.20979073,4.71561776,0.474320224,0.335150299,6.840439053,0.749591054
Aride,120,2022,11,2,0.08601,0.08601,0.785109811,0,2.80809795,0.509646617,0.478695919,4.581550297,0.713365839
Aride,120,2022,11,3,3.28289,3.28289,0.048270528,0,1.16069498,0.633304047,0.356052968,2.198322523,1.005862726
Aride,120,2022,11,4,1.72015,1.72015,0.291315739,0.025890136,1.94878641,0.457962417,0.162858019,2.886812721,0.8260794
Cousine E,130,2022,11,1,0.61552,0.61552,1.29914437,0.09237768,1.62583838,0.334788845,1.97705792,5.329207195,1.187993488
Cousine E,130,2022,11,2,1.69412,1.69412,0.849502858,0.025334108,2.37405408,0.48718274,0.992734934,4.72880872,1.796221809
Cousine E,130,2022,11,3,1.61606,1.61606,0.19114228,0.061583642,2.11178677,0.168892508,0.251426564,2.784831764,1.469899867
Cousine E,130,2022,11,4,2.1443,2.1443,0.191255243,0.033897836,0.643792728,0.712552113,0.376626137,1.958124057,0.434291457
Cousine W,100,2022,11,1,1.5794,1.5794,0.15195036,0.079577513,1.35090659,0.493591844,0.546170093,2.6221964,0.961342395
Cousine W,100,2022,11,2,1.06005,1.06005,0.185648532,0.054962504,0.617136677,0.197508866,0.276180108,1.331436687,0.081521915
Cousine W,100,2022,11,3,1.27859,1.27859,0.25804677,0.021488472,1.63193748,0.896029443,0.02156421,2.829066375,0.750376831
Cousine W,100,2022,11,4,1.57344,1.57344,0.550642171,0.080648596,1.82065047,0.806960947,0.032345302,3.291247486,1.002542523
Eagle,lagoon,2021&2023,5&10,1,0,0,0.0503,0,0.241518803,0.258443628,0,0.55026,0
Eagle,lagoon,2021&2023,5&10,2,0,0,0.04297,0.03068876,0.408266731,0.287417897,0,0.76934,0
Eagle,lagoon,2021&2023,5&10,3,0,0,0.07838,0,0.375602666,0.466393548,0,0.92037,0.056306805
Eagle,lagoon,2021&2023,5&10,4,0.02423,0,0.06754,0,0.423281211,0.24244126,0.002752095,0.73601,0
Felicite E,130,2022,11,1,1.61549,1.61549,0.432141092,0.004593143,0.364873074,0.124989516,0.272211618,1.198808443,0
Felicite E,130,2022,11,2,1.06873,1.06873,0.174186186,0,1.23675308,0.11381478,0.116284651,1.641038697,0.68279265
Felicite E,130,2022,11,3,1.13248,1.13248,0.524547605,0,1.57059166,0.295852783,0.49780307,2.888795118,1.068761214
Felicite E,130,2022,11,4,0.84236,0.84236,0.182850095,0.009296762,1.16100597,0.304508203,0.242896725,1.900557755,0.798500793
Felicite W,80,2022,11,1,1.40748,1.40748,0.472179557,0.036513659,0.686586671,0.176602719,0.782137684,2.15402029,0.224968841
Felicite W,80,2022,11,2,1.62584,1.62584,0,0,0.745850236,0.264482369,0.367619549,1.377952154,0.195951898
Felicite W,80,2022,11,3,1.89416,1.89416,0.272479605,0.046925089,0.408963237,0.233190534,1.39327534,2.354833805,0.136638925
Felicite W,80,2022,11,4,1.21871,1.21871,0.060242668,0.065022166,1.01854842,0.360749284,1.17310329,2.677665828,0.525880261
Fregate H,180,2022,11,1,0.06775,0.06775,0.766447804,0.028276378,1.11305998,0.191663569,0.116235214,2.215682945,0.368155987
Fregate H,180,2022,11,2,0.231,0.231,0.467858478,0.007129374,1.56835958,0.235346913,0.221250494,2.499944839,0.725908534
Fregate H,180,2022,11,3,0.16815,0.16815,0.860529289,0.097151215,3.1934236,0.726279224,0.294226697,5.171610025,0.819614833
Fregate H,180,2022,11,4,0.15818,0.15818,1.07984783,0.023570797,1.39101655,0.631854611,0.224814697,3.351104485,0.577043816
Fregate L,200,2022,11,1,0.12618,0.12618,1.37162447,0.021488472,1.64550732,0.317366182,0.267495016,3.62348146,0.063586912
Fregate L,200,2022,11,2,0,0,0.087487878,0.028276378,1.53012452,0.37188532,0.190943693,2.208717789,0.271758743
Fregate L,200,2022,11,3,0.11827,0.11827,0,0.020988255,1.44151659,3.91595364,0.222816579,5.601275064,0.459939451
Fregate L,200,2022,11,4,0.08589,0.08589,0.023326643,0.058287169,1.22292107,0.127049903,0.113840426,1.545425211,0.475787129
Fregate M,200,2022,11,1,0,0,0.029380305,0.036228231,2.54908944,0.28480675,0.097913943,2.997418669,1.073948974
Fregate M,200,2022,11,2,0,0,0.067350537,0.064409433,1.23017822,0.150419456,0.101377727,1.613735373,0.731414926
Fregate M,200,2022,11,3,0,0,0,0,1.64377722,0.102276856,0.043981808,1.790035884,0.666303049
Fregate M,200,2022,11,4,0.00497,0.00497,0,0.039320214,1.03181726,0.166794926,0.137763411,1.375695811,0.651485859
Grande Coquillage,lagoon,2021&2023,4&10,1,0.94885,3.64013E-05,0.53595,0.058524529,1.76303147,0.094368299,0.195245263,2.64712,0.00966472
Grande Coquillage,lagoon,2021&2023,4&10,2,0.531,7.8927E-06,0.34489,0,1.86994137,0.132837702,0.204706435,2.55238,0.255030662
Grande Coquillage,lagoon,2021&2023,4&10,3,5.22871,5.83486E-05,0.24361,0,6.77744807,0.360924593,0.178063265,7.56005,2.661321104
Grande Coquillage,lagoon,2021&2023,4&10,4,2.08685,6.80536E-05,3.10847,0.03068876,4.45153126,2.1618923,0.131437718,9.88402,5.74083144
Grande Mapou,lagoon,2021,4,1,NA,NA,0.03325,0.010555875,0.523810568,0.062902775,0,0.63051,0.297768914
Grande Mapou,lagoon,2021,4,2,NA,NA,0.01676,0,0.488027156,0.162017163,0.004820102,0.67163,0
Grande Mapou,lagoon,2021,4,3,NA,NA,0,0,2.77528665,0.216999437,0,2.99229,0.937419798
Grande Mapou,lagoon,2021,4,4,NA,NA,0.00973,0.03068876,0.365551486,0.117737383,0,0.5237,0.008961963
Hiranae-Lagoon side (southwest),lagoon,2021,11,1,NA,NA,0.086952049,0.016548745,0.160818953,0.139466579,0,0.403786327,0.078887633
Hiranae-Lagoon side (southwest),lagoon,2021,11,2,NA,NA,0.020881204,0.097695299,0.14088875,0.038107068,0,0.297572321,0.032148757
Hiranae-Lagoon side (southwest),lagoon,2021,11,3,NA,NA,0.034567175,0.107965086,0.841463387,0.115868053,0.001761536,1.101625237,0.46504604
Hiranae-Lagoon side (southwest),lagoon,2021,11,4,NA,NA,0,0.028517982,0.134951268,0.009804447,0.118230999,0.291504696,0.003024754
Hiranae/Auroa-Hoa,lagoon,2021,11,1,NA,NA,0.340900384,0.013832023,0.743714167,0.027789189,0.273042699,1.399278461,0.090932355
Hiranae/Auroa-Hoa,lagoon,2021,11,2,NA,NA,0.090194338,0.048096749,0.728115105,0.318264802,0.314989163,1.499660158,0.311449389
Hiranae/Auroa-Hoa,lagoon,2021,11,3,NA,NA,0.530112167,0.064418871,0.826405165,0.104340375,0.095552918,1.620829495,0.421893607
Hiranae/Auroa-Hoa,lagoon,2021,11,4,NA,NA,0.050416188,0.024036726,0.947446463,0.114998778,0.280827503,1.417725657,0.359279081
Honuea-Southwest point,lagoon,2021,11,1,NA,NA,0,0,0.573703716,0.034120108,0,0.607823824,0
Honuea-Southwest point,lagoon,2021,11,2,NA,NA,0,0.061411502,0.291039724,0.091042321,0.015437108,0.458930656,0.029338018
Honuea-Southwest point,lagoon,2021,11,3,NA,NA,0,0.027978734,0.898449193,0.012933475,0.003335496,0.942696898,0.021932559
Honuea-Southwest point,lagoon,2021,11,4,NA,NA,0.146157401,0.066237885,2.63329164,0.105182236,0.192564515,3.143433677,0.434435311
Ile Anglaise (PB),lagoon,2021,4,1,NA,NA,0,0,2.51277135,0.277677325,0.050403714,2.84085,0.7164521
Ile Anglaise (PB),lagoon,2021,4,2,NA,NA,0,0.052615688,2.05287965,0.621351289,0.215024277,2.94187,0.667971739
Ile Anglaise (PB),lagoon,2021,4,3,NA,NA,0.00247,0,1.06535997,0.157696781,0,1.22553,0
Ile Anglaise (PB),lagoon,2021,4,4,NA,NA,0,0.022123323,3.29283793,0.092117921,0,3.40708,0.949972233
Ile Anglaise (SAL),lagoon,2021&2023,4&10,1,0,0,0,0.104327848,1.17357122,0.82211273,0.088448859,2.18846,1.004356987
Ile Anglaise (SAL),lagoon,2021&2023,4&10,2,0,0,0,0.041417636,3.50785198,1.35543414,0.14928753,5.05399,0.952681377
Ile Anglaise (SAL),lagoon,2021&2023,4&10,3,0,0,0,0.045224118,1.05155058,0.019227658,0.121002624,1.237,0.248839709
Ile Anglaise (SAL),lagoon,2021&2023,4&10,4,0,0,0,0.066718689,1.94310333,0.47773221,0.204485456,2.69204,1.077957696
Ile de la Passe,lagoon,2021&2023,4&10,1,0,0,0.01728,0.149197171,3.80132949,0.29194151,0.40581421,4.66557,0.451684028
Ile de la Passe,lagoon,2021&2023,4&10,2,0,0,0.07046,0.081059191,5.76213643,0.791255097,0.247512759,6.95242,1.021613236
Ile de la Passe,lagoon,2021&2023,4&10,3,0,0,0.47762,0.057665097,1.43747046,0.018533322,0.224943362,2.21623,0.385372387
Ile de la Passe,lagoon,2021&2023,4&10,4,0,0,0.04392,0.049529622,1.30197108,0.021547677,0.180141542,1.59711,0
Ile Fouquet,lagoon,2021,4,1,NA,NA,0,0.070419921,2.96787003,0.086071321,0.218312997,3.34267,0.783666355
Ile Fouquet,lagoon,2021,4,2,NA,NA,0.05751,0.080055237,1.58225645,0.318377827,0.229387995,2.26759,1.007312877
Ile Fouquet,lagoon,2021,4,3,NA,NA,0.0585,0.05704376,1.28590961,0.009579962,0.163299399,1.57434,0.319684814
Ile Fouquet,lagoon,2021,4,4,NA,NA,0,0.037043411,6.03482449,0.004469884,0.100150199,6.17649,4.188745232
Ile Longue,lagoon,2021,4,1,NA,NA,0,0,0.860453508,0.184732931,0.043763842,1.08895,0.18125164
Ile Longue,lagoon,2021,4,2,NA,NA,0.1863,0.035975774,2.60562786,0.177965016,0.04666091,3.05253,1.042117141
Ile Longue,lagoon,2021,4,3,NA,NA,0.12222,0.016995055,1.26068743,0.179909651,0.058905431,1.63872,0.5088777
Ile Longue,lagoon,2021,4,4,NA,NA,0.04526,0.027978734,5.46426,0.457171116,0.004820102,5.99949,4.459050993
Ile Poule,lagoon,2021&2023,4&10,1,3.17421,7.41339E-05,0,0.044736226,2.3370069,0.100557304,0.021801064,2.5041,0.596598175
Ile Poule,lagoon,2021&2023,4&10,2,0.53631,0,0.00865,0,0.99611134,0.137144964,0,1.14191,0.013442945
Ile Poule,lagoon,2021&2023,4&10,3,1.51267,0,0.02469,0.058814913,2.20428349,0.199796305,0.027096009,2.51469,1.003287808
Ile Poule,lagoon,2021&2023,4&10,4,0.09168,0,0.00823,0.011574607,1.2512597,0.143022387,0,1.41409,0.547707411
Middle Brother,lagoon,2021&2023,5&10,1,0,0,0.46084,0,2.30580149,1.25615149,0.480313984,4.5031,1.73756406
Middle Brother,lagoon,2021&2023,5&10,2,0,0,0.30764,0,1.20033711,0.787219868,0.241628555,2.53682,1.131533278
Middle Brother,lagoon,2021&2023,5&10,3,0,0,1.6175,0,0.639626775,1.90438021,0.655576709,4.81708,1.742700861
Middle Brother,lagoon,2021&2023,5&10,4,0,0,0.06373,0.104859245,1.03917827,0.325783374,0.571304115,2.10486,0.253341751
Nelson,NA,2021,5,1,NA,NA,0.01783,0,0.697686642,0.230657503,0.081153863,1.02733,0.017276206
Nelson,NA,2021,5,2,NA,NA,0.0146,0.025366798,3.59923528,0.110292547,0.300973329,4.05047,0
Nelson,NA,2021,5,3,NA,NA,0,0.042280551,0.913393417,0.198667185,0.026621166,1.18096,0.03634772
Nelson,NA,2021,5,4,NA,NA,0.01694,0,1.04446282,0.189881896,0.169691863,1.42098,0.105728952
Onetahi-Airstrip/resort,lagoon,2021,11,1,NA,NA,0.693244684,0,0.381134118,0.044614539,0.163717715,1.282711056,0.065449474
Onetahi-Airstrip/resort,lagoon,2021,11,2,NA,NA,0.103917835,0.071783007,0.476786277,0.02187301,0.039713165,0.714073294,0.087199838
Onetahi-Airstrip/resort,lagoon,2021,11,3,NA,NA,0.067351531,0.06835577,0.384108508,0.050363001,0.164405472,0.734584282,0.226863741
Onetahi-Airstrip/resort,lagoon,2021,11,4,NA,NA,0,0.127759719,0.444896935,0.025178787,0.04566758,0.643503021,0.052570003
Oroatera-Lagoon side (southwest),lagoon,2021,11,1,NA,NA,0,0.049534579,0.832644061,0.031835249,0.203469885,1.117483774,0.009897988
Oroatera-Lagoon side (southwest),lagoon,2021,11,2,NA,NA,0.021033504,0.025653121,0.690927792,0.093780402,0.057686661,0.88908148,0
Oroatera-Lagoon side (southwest),lagoon,2021,11,3,NA,NA,0.331677491,0.050869129,1.31876384,0.155076884,0.057922095,1.914309439,0.015604178
Oroatera-Lagoon side (southwest),lagoon,2021,11,4,NA,NA,0.010400615,0.073403369,0.579478449,0.16752712,0.083481816,0.914291369,0.067203452
Reiono-Exposed (southeast),lagoon,2021,11,1,NA,NA,0.039279384,0.043323114,1.32233897,0.081180949,0,1.486122416,0.225379602
Reiono-Exposed (southeast),lagoon,2021,11,2,NA,NA,0.230363239,0,0.924968591,0.103995321,0.00037063,1.259697781,0.00221565
Reiono-Exposed (southeast),lagoon,2021,11,3,NA,NA,0,0,3.52729882,0.105430958,0.001479223,3.634209001,2.495122815
Reiono-Exposed (southeast),lagoon,2021,11,4,NA,NA,0.046550302,0.026311837,1.75349907,0.085082283,0.041693084,1.953136576,0.069814738
Reiono-Protected (southwest),lagoon,2021,11,1,NA,NA,0.052441309,0.013832023,0.925040504,0.111353196,0,1.102667031,0.284200987
Reiono-Protected (southwest),lagoon,2021,11,2,NA,NA,0.152091032,0.070259284,1.17409744,0.090953648,0.208612285,1.696013689,0.639610506
Reiono-Protected (southwest),lagoon,2021,11,3,NA,NA,0.299237269,0.025394384,1.84449553,0.147156951,0.012247443,2.328531577,1.284344018
Reiono-Protected (southwest),lagoon,2021,11,4,NA,NA,0.051266827,0.052486653,1.5094878,0.018060764,0,1.631302044,0.088147207
Rimatuu-Exposed (southeast),lagoon,2021,11,1,NA,NA,0.056470431,0.152228464,1.38067258,0.365851279,0.017257735,1.972480489,0.871393626
Rimatuu-Exposed (southeast),lagoon,2021,11,2,NA,NA,0.546925204,0.117961958,1.38972497,0.095804111,0,2.150416243,0.331440269
Rimatuu-Exposed (southeast),lagoon,2021,11,3,NA,NA,0.378520352,0.008237281,2.36165208,0.20181925,0.040125229,2.990354193,0.250306506
Rimatuu-Exposed (southeast),lagoon,2021,11,4,NA,NA,0.720371293,0.007686777,4.95484326,0.461874491,0.066800896,6.211576717,0.887169874
Rimatuu-Protected (southwest),lagoon,2021,11,1,NA,NA,0.025373581,0,2.1499695,0.234853484,0.024607659,2.434804224,0.688993029
Rimatuu-Protected (southwest),lagoon,2021,11,2,NA,NA,0.171610782,0.058625684,1.95760511,0.364194503,0.018795165,2.570831245,0.716315393
Rimatuu-Protected (southwest),lagoon,2021,11,3,NA,NA,0.032706371,0.098690711,2.29578411,0.157969159,0.011548351,2.596698702,1.148247286
Rimatuu-Protected (southwest),lagoon,2021,11,4,NA,NA,0.359770653,0.053922363,1.80625555,0.067189784,0.154720472,2.441858822,0.115679259
South Brother,lagoon,2021,5,1,NA,NA,0.05887,0,0.184151243,0.108934848,0,0.35196,0
South Brother,lagoon,2021,5,2,NA,NA,0.13169,0,0.310549653,0.214704853,0.073811311,0.73075,0
South Brother,lagoon,2021,5,3,NA,NA,0,0,2.8613918,0.30565892,0.172226392,3.33928,0
South Brother,lagoon,2021,5,4,NA,NA,0.37966,0,7.11082944,0.13468849,0.025495801,7.65068,5.761019258
Tauini-Hoa,lagoon,2021,11,1,NA,NA,0.054396262,0,0.616322646,0.009411545,0.388019246,1.068149699,0.508478489
Tauini-Hoa,lagoon,2021,11,2,NA,NA,0,0,0.319232983,0.034036341,0.265905882,0.619175206,0.084032929
Tauini-Hoa,lagoon,2021,11,3,NA,NA,0,0.018690567,3.76716231,0.018647085,0.873819801,4.678319763,0.219262772
Tauini-Hoa,lagoon,2021,11,4,NA,NA,0,0,1.00253962,0.02497442,0.279865475,1.307379515,0
Tiaraunu-Lagoon (southeast),lagoon,2021,11,1,NA,NA,0.053562445,0.012826561,0.208365634,0.071542377,0,0.346297016,0.123226386
Tiaraunu-Lagoon (southeast),lagoon,2021,11,2,NA,NA,0,0,0.119304027,0.048340001,0,0.167644028,0.0029032
Yeye,lagoon,2023,10,1,NA,NA,0.225548167,0,1.82862989,0.818794262,0.037321883,2.910294202,0.783666355
Yeye,lagoon,2023,10,2,NA,NA,0.016875946,0.039254391,0.49827229,0.1760214,0.118077653,0.84850168,1.007312877
Yeye,lagoon,2023,10,3,NA,NA,0.007156144,0.021140275,1.59126657,0.285552584,0.061665797,1.96678137,0.319684814
Yeye,lagoon,2023,10,4,NA,NA,0.184455485,0,1.60584863,1.03048899,0.23748015,3.058273255,4.188745232